FID	IID	UHML	FS	Enlongation	UI
S044	S044	27.4424340809636	27.0226250413235	6.76156824601538	85.8021785295796
S045	S045	27.2368361406072	25.7173228201166	6.34904791157518	83.8500401759933
S046	S046	29.5732205491796	26.6413186817571	6.68547904594509	85.4849560471218
S047	S047	29.681275601703	31.6459646510668	6.65218289070232	85.5630384560833
S048	S048	28.9821528537386	34.8040402171471	6.66189545973662	84.2160661172907
S049	S049	28.2122650189376	26.9749617463777	6.54813271495064	84.9237162704658
S050	S050	29.6504469167836	28.9414549388128	6.71877683212962	85.5093577765416
S051	S051	28.455022154659	31.4199462759948	6.54813271495064	85.0457249175649
S052	S052	27.2519932047182	32.0395691102903	6.8040988907191	86.1438027414572
S053	S053	28.4271527581353	30.1207392128009	6.71877683212962	86.2902131179761
S054	S054	28.4643119535003	31.8965792254529	6.66189545973662	86.0949992826175
S055	S055	28.6999794581029	32.7545185344774	6.74721751832611	85.8265802589994
S056	S056	28.461924118629	28.1788422196799	6.48335875406562	84.2648695761304
S057	S057	30.1387328094732	35.1853465767135	6.74721751832611	87.5347013183874
S058	S058	28.4356919177886	29.241153209036	6.60501408734363	86.0949992826175
S059	S059	28.5501772076208	26.8442699611973	6.57657340114714	86.1194010120373
S061	S061	28.1670383905805	30.3113923925842	6.54813271495064	84.3624764938097
S062	S062	27.9821410957095	27.1302497308722	6.46281065636116	84.2892713055502
S063	S063	28.5625592806079	31.2169949965545	6.66189545973663	85.8997854472589
S064	S064	29.9517569034795	32.0395691102903	6.71877683212962	86.3878200356554
S065	S065	28.6349508662142	30.8172953793179	6.66189545973663	85.7045716119003
S066	S066	27.9313941505818	26.691162500715	6.52650219340237	84.8261093527864
S067	S067	28.5815893850308	37.5378199666767	6.61243867756664	85.9241871766787
S068	S068	28.626883433222	29.6564043629999	6.54813271495064	83.9232453642528
S069	S069	30.6685575034087	30.9126219692096	6.60599061967372	85.9241871766787
S070	S070	28.6616547937157	30.1684025077468	6.57269446443096	84.8261093527864
S071	S071	29.433873566561	26.9272984514319	6.53295025129529	86.021794094358
S072	S072	26.9101118798863	28.9584268764315	6.66189545973663	85.0457249175649
S073	S073	29.8185461725192	32.5515672550371	6.74721751832611	86.6074356004339
S074	S074	27.6681443727317	28.0051609775153	6.60501408734363	85.0945283764046
S075	S075	28.6059160006683	28.6078118741922	6.57657340114714	83.9720488230925
S076	S076	28.7499078827075	29.816366185456	6.56624640653804	86.4122217650753
S079	S079	28.4816691853337	28.2741688095715	6.60259139347266	85.9973923649382
S080	S080	28.8266141083087	28.9584268764315	6.57657340114714	84.9969214587252
S081	S081	29.6092150238673	31.532244803505	6.74721751832611	86.7050425181132
S082	S082	29.9929887963958	32.1348957001819	6.77565820452261	86.4854269533348
S083	S083	27.3390239278609	26.4629636016309	6.64573483280941	83.2888003993373
S084	S084	27.2145935506526	31.5029747662293	6.71877683212962	85.0701266469847
S085	S085	29.4316007159203	29.2750980034335	6.8325395769156	86.2658113885563
S086	S086	27.4737260110589	30.3883257248057	6.56624640653804	84.7041007056873
S087	S087	27.5381053258419	27.788626856195	6.57657340114714	84.752904164527
S088	S088	25.9978703611505	23.6247179780505	6.36752534085964	83.7036297994743
S089	S089	27.9060206780179	33.1235267943868	6.69033614593312	85.5581612353813
S090	S090	29.6534062051792	39.444351764509	6.88420011162349	85.1921352940839
S091	S091	30.4105248107405	34.327407267689	6.74721751832611	87.2418805653495
S092	S092	27.0138809684174	32.771490472096	6.69033614593312	85.0945283764046
S093	S093	28.7104916227932	38.4741139279742	6.60501408734363	85.9485889060986
S094	S094	29.9761613297515	33.2311514839354	6.9205450985581	85.8265802589994
S095	S095	25.5240906202472	24.3534805243583	6.34904791157518	82.8251675403605
S096	S096	29.0704059427304	26.0216958474616	6.57657340114714	85.7045716119003
S097	S097	27.848797395107	30.0853740175122	6.46281065636116	85.0701266469847
S098	S098	25.7556188782304	26.0455952327857	6.46281065636116	84.2160661172907
S099	S099	29.3174200893829	28.9506479384678	6.74721751832611	86.0949992826175
S100	S100	29.7741425955325	30.6450354572048	6.8325395769156	85.7777768001598
S101	S101	29.3700673405214	32.2302222900735	6.69033614593312	86.4610252239149
S102	S102	29.5616397628101	28.0235542351854	6.49125134255765	84.606493788008
S103	S103	28.1470686673747	29.3397332359979	6.66189545973662	85.7045716119003
S104	S104	29.1168549369366	31.1339665063199	6.53295025129529	84.7041007056873
S105	S105	28.7687187451893	29.6257130056728	6.66189545973662	85.5825629648011
S106	S106	28.2261997171995	33.3434500114457	6.68547904594509	84.0696557407718
S107	S107	29.2632346538471	30.7403620470964	6.66189545973662	86.5342304121744
S108	S108	27.2589971276394	28.2142074149687	6.69033614593312	84.2160661172907
S109	S109	30.4871002660198	33.2188533842784	6.74721751832611	86.7538459769529
S110	S110	27.5805586977332	28.7031384640838	6.57657340114714	85.0945283764046
S111	S111	29.9295551149861	31.7588655539606	6.71877683212962	85.7045716119003
S112	S112	29.9460348686784	32.4208754698567	6.69033614593312	85.167733564664
S113	S113	28.290062840066	26.6059534864683	6.54813271495064	86.7050425181132
S114	S114	29.5128368567115	32.9621436518792	6.56284718033698	85.9973923649382
S115	S115	29.741659294171	32.4085773701997	6.74721751832611	85.8753837178391
S116	S116	29.2603297761142	29.0244834290474	6.60501408734363	85.3873491294425
S117	S117	26.2254704327609	26.5936553868112	6.4932060381596	85.2409387529235
S118	S118	31.446337381539	31.83661783085	6.73167131697368	85.9729906355184
S119	S119	29.8914949061403	31.8842811257958	6.71877683212962	86.5830338710141
S120	S120	29.5790878144493	30.6573335568619	6.66189545973662	84.9969214587252
S121	S121	27.8774755213836	32.1348957001819	6.7218240328797	85.5825629648011
S122	S122	28.8439713401421	30.6743054944805	6.68547904594509	85.4815636773332
S123	S123	29.5521247105986	30.35905568753	6.66189545973663	85.7777768001598
S124	S124	29.4234182986976	34.2797439727432	6.69033614593312	84.6796989762675
S125	S125	30.8430001272852	29.9423841326748	6.8040988907191	86.4122217650753
S126	S126	24.6011258765746	24.1734501557905	6.37748859777167	82.7031588932614
S127	S127	27.6235851583679	25.1581294952646	6.54735602893694	85.2725350317417
S128	S128	30.0051961952974	30.6743054944805	6.60599061967372	86.021794094358
S129	S129	31.1571312516114	37.1088503121644	6.8040988907191	86.729444247533
S130	S130	27.1130996603972	25.9079759998998	6.46281065636116	85.4117508588623
S131	S131	29.5140645017528	29.9423841326748	6.60501408734363	86.1194010120373
S132	S132	32.216168319513	39.5379511325095	6.91786163550508	86.8026494357925
S133	S133	28.9114445283611	34.3151091680319	6.7218240328797	86.7050425181132
S135	S135	31.5554271327626	34.5180604474722	6.61243867756664	85.2165370235037
S136	S136	30.1737747884133	30.9126219692096	6.69033614593312	86.1926062002968
S137	S137	29.8054655202107	32.4085773701997	6.61243867756664	85.9241871766787
S138	S138	29.4443857312513	31.5506380611751	6.69192710383801	86.1763234630268
S139	S139	25.6953568808912	25.8787059626241	6.49125134255765	83.5572194229554
S140	S140	30.4972865636026	35.5066915416771	6.8040988907191	86.4610252239149
S141	S141	26.5961151569084	24.2874239717424	6.44361454092994	84.0696557407718
S142	S142	30.4401962503339	30.7696320843721	6.57657340114714	85.9241871766787
S143	S143	28.8706752676437	31.1816298012658	6.60501408734363	86.9246580828917
S144	S144	32.665558094291	40.6189622005355	6.88080088542242	86.3317648647351
S145	S145	27.7861566380896	25.9740325525158	6.41371761188824	85.167733564664
S146	S146	28.3024811868283	35.2023185143322	6.65218289070232	85.8753837178391
S147	S147	29.7764306546648	30.0070193652392	6.63345477354013	86.6074356004339
S148	S148	28.2018097510742	33.3911133063915	6.66189545973662	86.2414096591365
S149	S149	26.9082706475922	24.6394602940332	6.56624640653804	84.8505110822063
S150	S150	28.6577098027224	30.1500092500766	6.63345477354013	85.6801698824804
S151	S151	26.7851154277848	26.8442699611973	6.54813271495064	84.3868782232295
S152	S152	29.1424672689109	32.3901841125296	6.71877683212962	85.8509819884193
S153	S153	28.6228212779471	29.7687028905102	6.71877683212962	85.9485889060986
S154	S154	29.200067778775	28.9414549388128	6.46281065636116	86.168204470877
S155	S155	30.1340879100526	33.1834881889896	6.80131245915106	86.2349303899546
S156	S156	29.3502653769898	32.3901841125296	6.57269446443096	85.6801698824804
S157	S157	30.2752686786688	31.1455766494277	6.71877683212962	86.4366234944951
S158	S158	31.7423885786096	34.249052615416	6.69192710383801	86.4610252239149
S159	S159	28.4340547221053	29.9423841326748	6.64233560660834	85.5248109082306
S160	S160	28.7337161198963	29.2444066461063	6.73167131697368	84.8261093527864
S161	S161	30.4560546706863	35.8403346062978	6.77565820452261	87.6079065066469
S163	S163	27.7245505797724	28.417158694409	6.49125134255765	83.8500401759933
S164	S164	27.8673769927895	34.9470301019845	6.60259139347266	85.4602545917102
S165	S165	28.686044759841	27.7668445027863	6.66189545973662	85.0457249175649
S166	S166	29.8724648017174	31.6582627507238	6.66189545973662	85.2409387529235
S167	S167	30.3454962188518	36.7459372102681	6.77565820452261	86.9246580828917
S168	S168	29.2825315646076	29.8824227380719	6.66189545973663	85.5825629648011
S169	S169	32.2115234200923	35.8526327059548	6.77565820452261	85.9485889060986
S170	S170	29.224853092633	32.0565410479089	6.66189545973663	85.5825629648011
S171	S171	30.0017736617258	29.7870961481803	6.61243867756664	86.0949992826175
S172	S172	28.2587140131439	28.1958141572986	6.77565820452261	85.7045716119003
S173	S173	28.4956038835955	27.337874848274	6.48675798026669	85.9729906355184
S174	S174	27.6078823753925	28.6724471067566	6.43436997016466	85.1677335646641
S175	S175	30.8969187564835	39.3320532369987	6.71877683212962	86.5098286827546
S176	S176	29.0541703115328	30.4067189824758	6.66189545973662	86.168204470877
S179	S179	29.7233956504047	31.7705612782341	6.64573483280941	86.5830338710141
S180	S180	30.1610880521314	29.6087410680541	6.48335875406562	85.8997854472589
S181	S181	28.9449936583736	31.7228979832883	6.73167131697368	86.2414096591365
S182	S182	30.1706031043428	31.2769563911574	6.71877683212962	85.9973923649382
S183	S183	27.3808280226465	32.1462059147182	6.69033614593312	84.9481179998856
S184	S184	30.2208362114993	26.7622542686624	6.68207981974402	86.3640430229953
S185	S185	25.1060496723913	24.7824501788706	6.48335875406562	81.7758931753079
S186	S186	30.605123821999	34.6010889377068	6.77565820452261	87.1442736476701
S187	S187	29.8043000511885	30.0254126229093	6.63345477354013	86.8026494357925
S188	S188	29.5616397628101	31.3123215864461	6.77565820452261	86.4366234944951
S189	S189	29.1302907292244	31.0740051117171	6.66189545973662	85.6313664236408
S190	S190	28.9171242618499	36.8705338374354	6.74721751832611	86.3634183062356
S191	S191	28.5850793384364	30.8003234416993	6.63345477354013	86.7294442475331
S192	S192	30.0373923733825	31.8182245731799	6.71877683212962	85.8753837178391
S193	S193	28.4212854928656	28.0528242724611	6.60501408734363	86.1926062002968
S194	S194	29.0529918140701	29.2151366088306	6.57269446443096	86.3634183062356
S195	S195	30.322843939726	29.5316584796043	6.66189545973663	86.2170079297167
S196	S196	28.7197814216344	35.7742780536818	6.77565820452261	86.168204470877
S197	S197	27.6744877408727	26.7659153089244	6.57657340114714	85.5337595059615
S198	S198	26.3276582200146	27.1656149261609	6.4932060381596	84.2648695761304
S199	S199	28.7731323798106	29.0844448236503	6.57657340114714	84.0208522819321
S200	S200	25.6076988098183	25.4313430504418	6.46281065636116	82.7763640815209
S201	S201	26.3624295805083	25.383679755496	6.5231029672013	82.5079450579028
S202	S202	28.7452629832869	26.3553389120822	6.46281065636116	84.8749128116261
S204	S204	27.1479881851725	30.0853740175122	6.43436997016466	84.1672626584511
S205	S205	28.2168457169253	29.7040676579457	6.60501408734363	85.6801698824805
S206	S206	28.9621914734888	29.5487796734513	6.57657340114714	86.1926062002968
S207	S207	26.9830606135074	28.1481508623528	6.49125134255765	84.4844851409088
S208	S208	29.9030084080437	35.8403346062978	6.69033614593312	86.6562390592736
S209	S209	28.8638692673038	28.0835156297883	6.51969202875415	85.7533750707399
S210	S210	29.1610468665934	30.1684025077468	6.65218289070232	86.4366234944951
S211	S211	28.3516120015563	31.055611854047	6.53295025129529	84.8505110822063
S212	S212	28.2041589806433	27.9282276452938	6.51969202875415	85.1921352940839
S213	S213	29.1524925177178	33.2957867164999	6.60501408734363	86.0949992826175
S214	S214	27.4331442821224	28.0712175301313	6.53295025129529	85.4361525882822
S215	S215	27.0623527152694	27.2132782211067	6.57657340114714	83.044783105139
S216	S216	29.4220856637088	37.6638379138955	6.74721751832611	86.8026494357925
S217	S217	28.9843932619822	28.3864673370818	6.60501408734363	86.1438027414572
S218	S218	28.6442406650554	30.5620069669703	6.63345477354013	85.1921352940839
S219	S219	26.1301846094773	24.3944214688945	6.47069572221385	83.297617988278
S220	S220	30.6136780193987	33.009806946825	6.72522325908077	86.2885176338378
S221	S221	29.957581732069	32.3255488799651	6.8040988907191	86.0461958237779
S222	S222	29.396714371196	33.7247563710122	6.77565820452261	85.9729906355184
S223	S223	28.5699222743255	33.3264780738271	6.66189545973662	86.3634183062356
S224	S224	28.0125343438509	26.8796351564861	6.64573483280941	85.0457249175649
S225	S225	28.4225078587147	27.8145077977321	6.54813271495064	85.6557681530606
S226	S226	27.5063884851371	29.1797714135419	6.60501408734363	84.0452540113519
S227	S227	31.4903985408739	34.3627724629777	6.8040988907191	86.6562390592736
S228	S228	27.8731873612323	24.3384950645758	6.43436997016466	84.6552972468476
S229	S229	28.357479266826	28.577120516865	6.57657340114714	85.2897422117632
S230	S230	29.0774386770222	31.3415916237218	6.69192710383801	85.5825629648011
S231	S231	28.6291646460881	27.6068826803302	6.60501408734363	85.3873491294425
S233	S233	28.930474632784	42.2395142286929	6.66189545973662	86.5098286827546
S234	S234	26.9513437728025	25.0330647532567	6.57657340114714	84.1672626584511
S235	S235	31.259319038865	45.0993119254413	6.8325395769156	86.5586321415943
S236	S236	26.1325724443485	24.382750561634	6.28803691458829	81.6782862576286
S237	S237	26.3868195466336	24.5530644139339	6.447013767131	84.7391660373491
S238	S238	29.972681899353	36.2509110031399	6.8040988907191	87.0954701888305
S239	S239	29.8786184419184	31.532244803505	6.77565820452261	86.9490598123115
S240	S240	30.9214637470088	35.6020181315687	6.91786163550508	86.9246580828917
S241	S241	28.0328880408373	31.0079485591012	6.63345477354013	86.0705975531977
S242	S242	29.4728326088366	29.3704245933251	6.66189545973662	85.6801698824804
S243	S243	25.9015163454727	24.2397606767966	6.37748859777167	83.3376038581769
S244	S244	27.4429548037274	28.5124852843006	6.63345477354013	84.5332885997485
S245	S245	24.9690412287506	25.7649861150624	6.29216653918219	81.5074741516898
S246	S246	30.2293737333362	32.4562406651455	6.61243867756664	85.9503763552055
S247	S247	32.1782791209586	35.6973447214603	6.88080088542242	86.3390165768158
S248	S248	27.7759816311281	31.2169949965545	6.60501408734363	85.2653404823434
S250	S250	29.2143978247696	27.1179516312151	6.63345477354013	85.5581612353813
S251	S251	28.2772936108263	28.8154369915941	6.60599061967372	84.8261093527865
S252	S252	28.0067239754082	23.9537809071218	6.49125134255765	84.2404678467106
S253	S253	30.8308228231457	32.7068552395316	6.73167131697368	85.7533750707399
S254	S254	28.9288018955624	33.1711900893326	6.85090395638073	86.8218866282304
S255	S255	30.2142166692253	29.2627999037764	6.57657340114714	85.6313664236408
S256	S256	28.3318669348516	27.6545459752761	6.51969202875415	84.8993145410459
S257	S257	26.4159113090064	26.9493894078868	6.49125134255765	84.0696557407718
S258	S258	27.5074626728523	30.4666803770786	6.51969202875415	85.0213231881451
S259	S259	29.3502653769898	29.9116927753476	6.68547904594509	84.7285024351071
S260	S260	29.764627543321	31.5974737369783	6.63345477354013	86.3390165768158
S261	S261	28.9939083141936	29.2444066461063	6.57657340114714	85.4849560471218
S262	S262	27.7698341049565	29.3704245933251	6.5231029672013	85.0406385343278
S263	S263	29.5871552474415	31.610599455778	6.7756582045226	87.022265000571
S264	S264	28.5559875760636	29.0844448236503	6.60501408734363	84.8749128116261
S265	S265	28.6545381186519	28.821534484882	6.57657340114714	86.0705975531977
S267	S267	30.4476840061054	31.6752346883425	6.69033614593312	86.314614847396
S268	S268	30.7855392979617	31.1032751489928	6.74721751832611	86.2170079297166
S269	S269	24.1666051589184	24.0443367022046	6.2068444805927	82.9471761874597
S270	S270	29.482347661048	29.9300860330177	6.69033614593312	86.2414096591365
S271	S271	30.1631227755985	32.1995309327463	6.61243867756664	85.8021785295796
S272	S272	31.5724874634963	30.1023459551308	6.66189545973662	85.8753837178391
S273	S273	29.4397408318307	32.7898837297661	6.69192710383801	85.7244292473842
S274	S274	28.0949770644	27.0825864359264	6.44361454092994	85.1051948508482
S275	S275	27.5761655346877	24.9854014583109	6.43436997016466	84.752904164527
